"Tarih","Saat","PTF (TL/MWh)","PTF (USD/MWh)","PTF (EUR/MWh)"
"04/01/2020","00:00","323,02","54,31","48,48"
"04/01/2020","01:00","323,18","54,34","48,50"
"04/01/2020","02:00","320,48","53,88","48,10"
"04/01/2020","03:00","318,20","53,50","47,76"
"04/01/2020","04:00","260,59","43,81","39,11"
"04/01/2020","05:00","268,48","45,14","40,29"
"04/01/2020","06:00","320,09","53,82","48,04"
"04/01/2020","07:00","324,08","54,49","48,64"
"04/01/2020","08:00","328,59","55,25","49,32"
"04/01/2020","09:00","333,34","56,04","50,03"
"04/01/2020","10:00","338,34","56,88","50,78"
"04/01/2020","11:00","340,01","57,17","51,03"
"04/01/2020","12:00","336,46","56,57","50,50"
"04/01/2020","13:00","336,65","56,60","50,53"
"04/01/2020","14:00","337,27","56,71","50,62"
"04/01/2020","15:00","336,25","56,53","50,47"
"04/01/2020","16:00","338,77","56,96","50,84"
"04/01/2020","17:00","343,98","57,83","51,63"
"04/01/2020","18:00","345,00","58,00","51,78"
"04/01/2020","19:00","342,63","57,61","51,42"
"04/01/2020","20:00","339,38","57,06","50,94"
"04/01/2020","21:00","336,05","56,50","50,44"
"04/01/2020","22:00","331,96","55,81","49,82"
"04/01/2020","23:00","332,28","55,87","49,87"
